profileName,symbols,tradesCount,wins,losses,winRatePercent,grossPnlQuote,estimatedNetPnlQuote,totalFeeAndSpreadEstimateQuote,averageWinQuote,averageLossQuote,maxConsecutiveLosses,averageTradeDurationMinutes,symbolBreakdown,exitReasonBreakdown
strict-current-ETH+BNB,ETHUSDT+BNBUSDT,31,4,27,12.903225806451612903225806452,0.4672000000,-1.06877475000000,1.53597475000000,0.08440556250000,-0.0520887777777777777777777778,18,13.838709677419354838709677419,ETHUSDT:12|BNBUSDT:19,OppositeSignal:31
strict-current-ETH+BNB+SOL,ETHUSDT+BNBUSDT+SOLUSDT,45,6,39,13.333333333333333333333333333,0.4647000000,-1.79277787500000,2.25747787500000,0.0662011041666666666666666667,-0.0561534487179487179487179487,17,12.488888888888888888888888889,ETHUSDT:12|BNBUSDT:19|SOLUSDT:14,OppositeSignal:45
pullback-rr-1.00-ETH+BNB,ETHUSDT+BNBUSDT,31,4,27,12.903225806451612903225806452,0.4672000000,-1.06877475000000,1.53597475000000,0.08440556250000,-0.0520887777777777777777777778,18,13.838709677419354838709677419,ETHUSDT:12|BNBUSDT:19,OppositeSignal:31
pullback-rr-1.00-ETH+BNB+SOL,ETHUSDT+BNBUSDT+SOLUSDT,45,6,39,13.333333333333333333333333333,0.4647000000,-1.79277787500000,2.25747787500000,0.0662011041666666666666666667,-0.0561534487179487179487179487,17,12.488888888888888888888888889,ETHUSDT:12|BNBUSDT:19|SOLUSDT:14,OppositeSignal:45
pullback-rr-1.20-ETH+BNB,ETHUSDT+BNBUSDT,31,4,27,12.903225806451612903225806452,0.4672000000,-1.06877475000000,1.53597475000000,0.08440556250000,-0.0520887777777777777777777778,18,13.838709677419354838709677419,ETHUSDT:12|BNBUSDT:19,OppositeSignal:31
pullback-rr-1.20-ETH+BNB+SOL,ETHUSDT+BNBUSDT+SOLUSDT,45,6,39,13.333333333333333333333333333,0.4647000000,-1.79277787500000,2.25747787500000,0.0662011041666666666666666667,-0.0561534487179487179487179487,17,12.488888888888888888888888889,ETHUSDT:12|BNBUSDT:19|SOLUSDT:14,OppositeSignal:45
pullback-disabled-ETH+BNB,ETHUSDT+BNBUSDT,31,4,27,12.903225806451612903225806452,0.4672000000,-1.06877475000000,1.53597475000000,0.08440556250000,-0.0520887777777777777777777778,18,13.838709677419354838709677419,ETHUSDT:12|BNBUSDT:19,OppositeSignal:31
pullback-disabled-ETH+BNB+SOL,ETHUSDT+BNBUSDT+SOLUSDT,45,6,39,13.333333333333333333333333333,0.4647000000,-1.79277787500000,2.25747787500000,0.0662011041666666666666666667,-0.0561534487179487179487179487,17,12.488888888888888888888888889,ETHUSDT:12|BNBUSDT:19|SOLUSDT:14,OppositeSignal:45
