PositionId,Symbol,Side,Quantity,EntryPrice,ExitPrice,OpenedAtUtc,ClosedAtUtc,ExitReason,RealizedPnl,CumulativePnl
40,SOLUSDT,SELL,196.590000000000000000,76.060000000000000000,75.950000000000000000,2026-07-13T12:15:28.6933000Z,2026-07-13T12:33:32.2498400Z,RollingProfit,9.671441640000000000,9.671441640000000000
39,BNBUSDT,BUY,26.250000000000000000,570.090000000000000000,568.070000000000000000,2026-07-13T11:46:01.7511290Z,2026-07-13T12:41:05.1034540Z,StopLoss,-64.975680000000000000,-55.304238360000000000
42,SOLUSDT,SELL,197.690000000000000000,75.230000000000000000,75.310000000000000000,2026-07-13T13:46:18.5725040Z,2026-07-13T13:58:19.1992070Z,RiskExit,-27.719301040000000000,-83.023539400000000000
41,BNBUSDT,SELL,26.220000000000000000,567.620000000000000000,568.640000000000000000,2026-07-13T13:46:15.4563640Z,2026-07-13T14:00:44.7071230Z,RiskExit,-38.661494880000000000,-121.685034280000000000
